County,Romanian,Hungarians,Romany,Ukrainians,Germans,Turks,Russians_Lippovans,Tatars,Serbs,Slovaks,Bulgarians,Croats,Greeks,Italians,Jews,Czechs,Poles,Chinese,Armenians,Csango,Macedonians,Another
ms,31.299476684925047,30.415888937743,31.78309815876107,0.015861110180797923,1.4646362698553679,0.0276531080871161,0.04442417898047982,0.00036259873012698773,0.00036259873012698773,0.0005753574323335721,0.003787956156271594,-0.0,0.0004704112220903355,0.02416366587541582,0.007821232656948042,0.0004704112220903355,0.006518221139334308,0.00036259873012698773,0.0014474821549459022,0.01626439013996206,-0.0,0.12894811200354192
nt,1.539879724499524,0.051028966981006396,4.278464663817486,0.0034404278301955553,0.019903284449545585,0.02096721398799786,0.04477736835411866,-0.0,-0.0,0.0007416570668233768,-0.0,-0.0,0.005115440521346769,0.03228170280246334,0.00834620558192832,-0.0,-0.0,-0.0,0.0012242495365214965,0.0007416570668233768,-0.0,0.01322711805604047
ot,2.2940059965189143,0.023245498738491202,6.902252236913168,-0.0,0.0028910405486535576,0.00816851036997343,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.04110252313894416,-0.0,-0.0,0.0032941939258935727,-0.0,-0.0,-0.0,0.000685706905636229,0.03432944865100021
ph,2.887943783876766,0.25783405816188,7.792099547497834,0.00045911039823907793,0.04951370619906434,0.06318447409946004,0.002446802938314161,0.0003180134365710365,0.005224270890920629,-0.0,0.0039020890647238366,0.0030714797385256514,0.006899026831826836,0.02592299290494911,0.0018249819581373132,-0.0,0.0005276849955811722,-0.0,0.0006618009624324016,0.014757578631722876,-0.0,0.06258967320180389
sb,9.947006730685665,5.648743985981097,14.843116579315963,0.007711557721642241,4.221864536097925,0.0017922061499089522,0.048224606203384125,0.0003418412475611909,0.0025046074581908176,0.0003418412475611909,-0.0,-0.0,0.004476329671304019,0.023429742773285966,0.0033566503854615378,-0.0,0.01258368928338479,0.0009540310045899725,0.029569094162212588,0.0005425859919333409,-0.0,0.17451338492919807
sj,15.857302180028066,12.775309916572063,16.099948950526354,0.02805862280272068,0.03309282938575834,-0.0,0.0012710772145040068,-0.0,-0.0,1.076535283139826,-0.0,-0.0,-0.0,0.009007028895072445,-0.0,-0.0,-0.0,-0.0,-0.0,0.00255827163090468,-0.0,0.04552838223759891
sm,22.17610399426118,22.983427352445613,15.796040396922153,1.488960285102183,4.992324203015559,0.009850285346718626,0.0006204031485257334,-0.0,0.0011553152041547082,0.1553458883251762,-0.0,-0.0,-0.0,0.01047247571178873,0.005408981453931412,0.029868705300653664,0.0006204031485257334,0.0011553152041547082,-0.0,0.06287650383064336,-0.0,0.02858522830376907
sv,6.717514326607268,0.12259593215264054,8.464027748067243,3.40218799386852,0.8468489640765905,0.015735976064262303,1.2775468658370936,-0.0,0.010313636008105038,-0.0,-0.0,-0.0,0.006278715889300717,0.029165269916315878,0.03326834139292745,-0.0,1.499071623572381,0.0016023405724633814,0.0030667032254346705,-0.0,-0.0,0.23820642929276498
tl,4.984778641584367,0.04433260866488094,2.0773054163390867,2.0729374547549915,0.003231611000502099,0.9265725188006916,3.994920315185006,0.05116090007410316,0.0006562016924189343,0.0008497600595533567,0.0027528413871464514,-0.0,0.6651185708741814,0.06138411966531137,0.001221415713667312,-0.0,0.0008497600595533567,-0.0,0.054082081809035655,0.0027528413871464514,0.029082785212285765,0.06792321566331207
tm,18.09944219165147,17.238329724610185,13.522178395692153,6.299976818655648,5.772529098780726,0.012523742824437311,0.026521829006816152,0.0006909101293010993,6.034212276718588,1.59575786671806,1.5578482559324642,0.22217018901078178,0.005771468900762453,0.16251269030550775,0.026394756369664225,0.10486325925456152,0.011824152396006322,0.005711651915366701,0.004586438358956993,0.022869897664581203,0.02627384679055422,0.3257575893294323
tr,2.9226135374439055,0.0016263853385470295,8.165265877940659,-0.0,-0.0,0.03882128990180311,-0.0,-0.0,-0.0,-0.0,0.011623511841151396,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.014969647085058433,-0.0,0.012726506751509579
vl,1.9125467132794258,0.11518726399338439,5.5986781345987655,0.0006273319728507139,0.009787023783247431,0.009725668968901289,0.0006273319728507139,-0.0,0.0006273319728507139,-0.0,0.00048396984946208097,-0.0,0.0010366875525709388,0.015612607416054376,0.0007667502687309589,-0.0,-0.0,-0.0,0.00048396984946208097,-0.0,-0.0,0.01620259899986964
vn,2.362165558851771,0.040804197436666544,4.713224647546251,0.0007812940273738574,0.0007812940273738574,0.003690900533536405,0.000603165119536601,-0.0,-0.0,-0.0,-0.0,-0.0,0.00390999355633446,0.00810043751200161,0.0046912875837083175,-0.0,-0.0,-0.0,0.001452110654280948,-0.0,-0.0,0.14867084523018614
vs,1.409356177695759,0.03603642647617408,3.508367201029314,-0.0,0.009191606895603183,0.010784820410245862,0.08930496411966893,-0.0,-0.0,-0.0,-0.0,-0.0,0.0043624970296892085,0.002701892817444843,0.004764583898377332,-0.0,-0.0,0.001100405694233598,-0.0,-0.0,-0.0,0.0370291976991384
