,Cercetare,Execb_venit,ConexTelFixa,Execb_subv,Export,Import,Innoptari,Lemn,PIB,PA_Veg,PA_Anim,Serv_Agric,Sup_Loc,SalNet,RataSom
nt,-0.2658930835978697,-0.8935234991849039,-0.27009499067132864,0.32226898754330957,-0.6843434901547638,-0.5972283990899353,-0.2881355660589216,1.4702716529961288,-0.8338868118756513,-0.650898225806974,-0.3645429222710575,-0.14279334994149606,-0.3893681096554052,-0.6883456512259217,0.11013360502339445
ot,-0.34313518438390145,-0.31598811245641567,-0.60609507880824,0.6544105913714735,0.2772959408772719,-0.27463724124045885,-0.787732865733889,-0.8957301926076715,-0.6396702174161445,0.6146552422258923,-0.11024427620275686,-0.2040422075851134,0.036820364799879206,0.14009430576330198,1.1157013030630831
ph,-0.3156015168788327,-0.13090743000488547,0.6961373069820553,-0.35583033427159044,0.13127339613504718,0.43472476911578334,0.2899204919808601,-0.5241068660730431,0.6368906875713128,-1.0763084480800063,-1.1110274861266818,-0.41621001301965843,0.27223876021327353,0.428690192419384,-0.4529843058788314
sj,-0.33920180331174876,0.23582949410775325,-1.1050830550027253,-0.06508158651689955,-0.1286159768982413,-0.4257222077384748,-0.6116317276878938,-0.028609097360205463,-0.19689580652431665,0.18304719518068518,0.43754358496350687,-0.3977031639474863,-0.03218157868335796,-0.5117928735069068,0.029688189180219277
sm,-0.3373803046944432,0.10680391962831808,0.3447294799968764,0.35855709461040247,0.00967381759176898,-0.03927838552295632,-0.6537767746990982,-0.6479813082512526,-0.406958767685848,0.6558736274715905,-0.17381893771983187,-0.39252565259991434,0.3493585794004207,-0.34882107868935464,-0.6138751375651815
sb,0.8343712768467708,0.5879033764466333,1.6761066248134115,-0.5619623186053071,1.5404254351769588,0.7138027298798507,0.7697969596250911,-0.1277086511027731,0.5321309295684458,-1.0525026112743991,-0.4409049953473489,-0.32433672655423235,0.329063890140645,0.944767542674966,-0.7747659692515317
sv,-0.2884110302726766,-0.7555805889559101,-1.0698123275187401,-0.34501048583415417,-0.7042084538985354,-0.5572671143344624,0.010077033238904463,2.9072151822633576,-0.8085721484364704,-0.5989130542947643,1.228059296718376,-0.29018718362343854,-0.3731323582475852,-0.6476027025215336,-0.010534518741368487
tr,-0.3507379612213509,-0.8542918184516669,-1.2114521436781123,0.4149312792895567,-0.841257679024659,-0.6639213820966254,-0.8972718633316783,-0.9700548579145971,-0.731136977547487,0.948564069866357,0.24855392546181077,0.22458963610430227,-0.4177806746190909,-0.8105744973390858,2.3626052486322973
tm,0.6783823590256288,1.4601704993924849,1.603337544951716,0.6600702044002861,2.369835233244169,1.3548123813071478,0.11035347835828561,-0.6603687524690736,1.5023921469182733,0.22736042065427672,0.7397561962061178,0.002617607054142275,1.4209181723165638,1.946365031657839,-1.6194428356048705
tl,-0.18735745480824406,0.21909799816528233,-0.8580023272070186,-0.44494149627426827,-0.5983082212030385,-0.48280413385239596,-0.19307526368229233,-0.11532120688495213,-0.36112987301703664,1.4022595029590514,1.1382367904218569,0.19925287844597137,-0.4989594316581924,-0.4812356619786158,-0.13120264250613106
vl,-0.029151060409512534,0.9134320969537089,-0.3725657357826963,2.2896503518826354,-0.8123876878216201,-0.7079614613179329,1.7618518552872724,0.5040510040060951,-0.22808791166363024,-0.5580611632865793,0.23636187921810448,-0.40717690811538393,0.0855276190233392,-0.6272312281693396,-0.17142535042771848
vs,-0.291526056893576,-1.1820498728961326,-0.9003272001878009,-0.5542497086934938,-0.6201826695074827,-0.6061096939439022,-0.8165169623973801,-0.6603687524690736,-1.1429679506288664,-0.41856531217250625,0.19178713690035118,-0.345707730839955,-1.8018784821357756,-0.4337022218234964,2.5234960803186475
vn,-0.3498932082394121,0.02576648186300061,-0.476335928748737,1.9478541140641443,-0.7189724183729067,-0.5995145830704143,-0.81011375726965,0.6898626672734092,-0.6861701845121916,0.13060594195068082,0.8717978690068509,-0.32620944342463076,0.26412088450936355,-0.7868077772615262,0.11013360502339445
